Name,SMILES,Canonical,Formula,MW,HeavyAtoms,Rings,InChIKey
EB-01,O=C1C(O)=C(N)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(N)=C(O)C1=O,C12H17NO4,239.27,17,1,MROOZOVBUFEFDV-UHFFFAOYSA-N
EB-02,O=C1C(O)=C(/N=C/c2ccc(F)cc2)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2ccc(F)cc2)=C(O)C1=O,C19H20FNO4,345.37,25,2,TYERTARTSPZHPF-UFFVCSGVSA-N
EB-03,O=C1C(O)=C(/N=C/c2ccc(Cl)cc2)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2ccc(Cl)cc2)=C(O)C1=O,C19H20ClNO4,361.83,25,2,ROCJLWSTNDWBPS-UFFVCSGVSA-N
EB-04,O=C1C(O)=C(/N=C/c2ccc(Br)cc2)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2ccc(Br)cc2)=C(O)C1=O,C19H20BrNO4,406.28,25,2,DQFUUIVIWSWGKE-UFFVCSGVSA-N
EB-05,O=C1C(O)=C(/N=C/c2cc(Cl)ccc2Cl)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2cc(Cl)ccc2Cl)=C(O)C1=O,C19H19Cl2NO4,396.27,26,2,VHGYBSZMBPVWTQ-LSFURLLWSA-N
EB-06,O=C1C(O)=C(/N=C/c2c(Cl)cccc2Cl)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2c(Cl)cccc2Cl)=C(O)C1=O,C19H19Cl2NO4,396.27,26,2,XAXHYQGCEABLDP-LSFURLLWSA-N
EB-07,O=C1C(O)=C(/N=C/c2ccc(OC)cc2)C(=O)C(O)=C1CCCC(C)C,COc1ccc(/C=N/C2=C(O)C(=O)C(CCCC(C)C)=C(O)C2=O)cc1,C20H23NO5,357.41,26,2,LJZXZXHXQQRWHW-SRZZPIQSSA-N
EB-08,O=C1C(O)=C(/N=C/c2cc(OC)c(OC)cc2)C(=O)C(O)=C1CCCC(C)C,COc1ccc(/C=N/C2=C(O)C(=O)C(CCCC(C)C)=C(O)C2=O)cc1OC,C21H25NO6,387.43,28,2,GRRRDAGWBITNQF-SSDVNMTOSA-N
EB-09,O=C1C(O)=C(/N=C/c2ccc(O)cc2)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2ccc(O)cc2)=C(O)C1=O,C19H21NO5,343.38,25,2,YTBBVUQTSSRGLE-KEBDBYFISA-N
EB-10,O=C1C(O)=C(/N=C/c2cc(C=O)c(O)cc2)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2ccc(O)c(C=O)c2)=C(O)C1=O,C20H21NO6,371.39,27,2,FHKCGDKSOCBFLB-ZVBGSRNCSA-N
EB-11,O=C1C(O)=C(/N=C/c2ccc([N+](=O)[O-])cc2)C(=O)C(O)=C1CCCC(C)C,CC(C)CCCC1=C(O)C(=O)C(/N=C/c2ccc([N+](=O)[O-])cc2)=C(O)C1=O,C19H20N2O6,372.38,27,2,DEARZNGEHJJWHW-KEBDBYFISA-N
