Chembl_id,SMILES,pIC50,MW,LogP,HBD,HBA,TPSA,RotBonds,ArRings,Rings,HeavyAtoms
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.387216143280264,383.814,4.450340000000002,3,4,82.69999999999999,3,3,4,27
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.769551078621726,482.9030000000001,3.614320000000001,3,6,112.24,4,3,5,34
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.031517051446065,369.43200000000013,4.772000000000004,1,6,78.66000000000001,6,4,4,28
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,3.3010299956639813,283.287,2.3105600000000006,2,4,113.98,5,1,1,21
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.017728766960432,215.16799999999998,1.73096,1,5,110.95000000000002,2,1,1,16
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.274905478918531,539.9990000000001,3.228220000000002,3,7,115.48,7,3,5,38
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,3.5783960731301687,249.22199999999998,1.40098,2,5,99.78,4,1,1,18
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.903089986991944,236.234,1.55914,2,5,117.61999999999999,2,1,1,18
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,3.204119982655925,239.2779999999999,1.95376,0,4,60.05,2,1,2,18
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.455931955649724,186.17,1.52836,2,4,88.04,1,1,1,14
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.0457574905606752,197.18999999999997,0.052200000000000135,4,4,103.78000000000002,3,1,1,14
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.346787486224656,542.0150000000001,3.57442,5,7,135.27,10,3,4,38
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.0,204.18499999999997,0.4900799999999999,3,4,107.34,2,1,1,15
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.221848749616356,281.231,1.4673399999999999,2,7,160.76,3,1,1,21
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,3.221848749616356,200.20100000000002,1.5102599999999997,1,5,81.19999999999999,3,1,1,15
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,3.070581074285707,230.22299999999998,1.83996,1,5,86.27,3,1,1,17
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.522878745280337,202.16899999999998,1.2339599999999997,3,5,108.27000000000001,1,1,1,15
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,5.096910013008056,292.34600000000006,3.806600000000002,1,5,65.77,4,3,3,22
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,3.7825160557860937,189.17,1.3837799999999998,2,3,81.32,2,1,1,14
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,3.6020599913279625,155.15999999999997,1.51216,0,3,60.47,1,1,1,12
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,3.903089986991944,215.16799999999998,1.7309600000000003,1,5,110.95000000000002,2,1,1,16
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.853871964321762,326.791,4.587100000000003,1,5,65.77,4,3,3,23
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,3.204119982655925,227.223,0.93896,2,4,96.91000000000001,3,1,1,17
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,6.0,250.30500000000004,3.2640200000000004,2,4,63.83,2,3,3,19
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.0,312.76400000000007,4.435700000000002,2,5,74.56,4,3,3,22
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,4.874518734299406,306.373,3.958000000000003,0,5,56.980000000000004,4,3,3,23
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,3.4559319556497243,185.186,1.7351599999999998,2,4,79.84,2,1,1,14
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,4.853871964321762,179.17499999999998,0.8144999999999998,3,3,69.56,3,1,1,13
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.623423042943488,434.30100000000016,5.510200000000003,2,6,87.45,6,4,4,28
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938200260161125,456.34800000000035,4.247200000000003,2,7,87.03,7,3,4,29
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,3.3665315444204134,198.18099999999998,1.81536,1,3,84.88000000000001,2,1,1,15
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.657577319177793,511.9450000000004,2.895500000000001,4,7,124.26999999999998,7,3,5,36
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,4.8696662315049934,218.16799999999998,1.1196599999999999,4,6,128.5,1,1,1,16
CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,3.6020599913279625,200.19699999999997,1.8313599999999997,1,4,77.03999999999999,2,1,1,15
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,8.346787486224656,559.6300000000002,4.824820000000003,3,7,117.16999999999999,6,5,7,42
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.294136287716081,250.30500000000004,2.8241000000000014,2,4,63.83,3,3,3,19
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,3.3467874862246565,215.16799999999995,1.7309599999999998,1,5,110.95,2,1,1,16
CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,6.698970004336019,526.0160000000002,4.5219400000000025,4,6,115.04,9,3,4,37
